pesos0a,pesos0b,pesos1
0.5483691789745077,-0.9535224745365124,-0.38130239106406577
-0.6504269190107739,0.12428472723121646,-1.010837296002502
0.3314430441736592,0.7788117230790441,-0.3024749115456557
0.8618340135747516,0.7800572589809833,-0.2646577856418525
0.8657824620265718,0.2765168946143052,-0.033614943919839234
0.2014712006766691,0.3198994912224825,-0.2295775895949634
-0.5982175705756643,0.197188744972957,-0.7123127837503805
-0.2280125862651553,-0.5272107650148405,-0.40686166792790274
-0.24913534242013602,-0.5962914811593901,0.044935582673164616
0.4653883296940413,0.4293252486439877,0.7812789644189905
